28919 0.5
-30 -7 -30
-29.5 -7 -30
-29 -7 -30
-28.5 -7 -30
-28 -7 -30
-27.5 -7 -30
-27 -7 -30
-26.5 -7 -30
-26 -7 -30
-25.5 -7 -30
-25 -7 -30
-24.5 -7 -30
-24 -7 -30
-23.5 -7 -30
-23 -7 -30
-22.5 -7 -30
-22 -7 -30
-21.5 -7 -30
-21 -7 -30
-20.5 -7 -30
-20 -7 -30
-19.5 -7 -30
-19 -7 -30
-18.5 -7 -30
-18 -7 -30
-17.5 -7 -30
-17 -7 -30
-16.5 -7 -30
-16 -7 -30
-15.5 -7 -30
-15 -7 -30
-14.5 -7 -30
-14 -7 -30
-13.5 -7 -30
-13 -7 -30
-12.5 -7 -30
-12 -7 -30
-11.5 -7 -30
-11 -7 -30
-10.5 -7 -30
-10 -7 -30
-9.5 -7 -30
-9 -7 -30
-8.5 -7 -30
-8 -7 -30
-7.5 -7 -30
-7 -7 -30
-6.5 -7 -30
-6 -7 -30
-5.5 -7 -30
-5 -7 -30
-4.5 -7 -30
-4 -7 -30
-3.5 -7 -30
-3 -7 -30
-2.5 -7 -30
-2 -7 -30
-1.5 -7 -30
-1 -7 -30
-0.5 -7 -30
0 -7 -30
0.5 -7 -30
1 -7 -30
1.5 -7 -30
2 -7 -30
2.5 -7 -30
3 -7 -30
3.5 -7 -30
4 -7 -30
4.5 -7 -30
5 -7 -30
5.5 -7 -30
6 -7 -30
6.5 -7 -30
7 -7 -30
7.5 -7 -30
8 -7 -30
8.5 -7 -30
9 -7 -30
9.5 -7 -30
10 -7 -30
10.5 -7 -30
11 -7 -30
11.5 -7 -30
12 -7 -30
12.5 -7 -30
13 -7 -30
13.5 -7 -30
14 -7 -30
14.5 -7 -30
15 -7 -30
15.5 -7 -30
16 -7 -30
16.5 -7 -30
17 -7 -30
17.5 -7 -30
18 -7 -30
18.5 -7 -30
19 -7 -30
19.5 -7 -30
20 -7 -30
20.5 -7 -30
21 -7 -30
21.5 -7 -30
22 -7 -30
22.5 -7 -30
23 -7 -30
23.5 -7 -30
24 -7 -30
24.5 -7 -30
25 -7 -30
25.5 -7 -30
26 -7 -30
26.5 -7 -30
27 -7 -30
27.5 -7 -30
28 -7 -30
28.5 -7 -30
29 -7 -30
29.5 -7 -30
30 -7 -30
-30 -6.5 -30
-29.5 -6.5 -30
-29 -6.5 -30
-28.5 -6.5 -30
-28 -6.5 -30
-27.5 -6.5 -30
-27 -6.5 -30
-26.5 -6.5 -30
-26 -6.5 -30
-25.5 -6.5 -30
-25 -6.5 -30
-24.5 -6.5 -30
-24 -6.5 -30
-23.5 -6.5 -30
-23 -6.5 -30
-22.5 -6.5 -30
-22 -6.5 -30
-21.5 -6.5 -30
-21 -6.5 -30
-20.5 -6.5 -30
-20 -6.5 -30
-19.5 -6.5 -30
-19 -6.5 -30
-18.5 -6.5 -30
-18 -6.5 -30
-17.5 -6.5 -30
-17 -6.5 -30
-16.5 -6.5 -30
-16 -6.5 -30
-15.5 -6.5 -30
-15 -6.5 -30
-14.5 -6.5 -30
-14 -6.5 -30
-13.5 -6.5 -30
-13 -6.5 -30
-12.5 -6.5 -30
-12 -6.5 -30
-11.5 -6.5 -30
-11 -6.5 -30
-10.5 -6.5 -30
-10 -6.5 -30
-9.5 -6.5 -30
-9 -6.5 -30
-8.5 -6.5 -30
-8 -6.5 -30
-7.5 -6.5 -30
-7 -6.5 -30
-6.5 -6.5 -30
-6 -6.5 -30
-5.5 -6.5 -30
-5 -6.5 -30
-4.5 -6.5 -30
-4 -6.5 -30
-3.5 -6.5 -30
-3 -6.5 -30
-2.5 -6.5 -30
-2 -6.5 -30
-1.5 -6.5 -30
-1 -6.5 -30
-0.5 -6.5 -30
0 -6.5 -30
0.5 -6.5 -30
1 -6.5 -30
1.5 -6.5 -30
2 -6.5 -30
2.5 -6.5 -30
3 -6.5 -30
3.5 -6.5 -30
4 -6.5 -30
4.5 -6.5 -30
5 -6.5 -30
5.5 -6.5 -30
6 -6.5 -30
6.5 -6.5 -30
7 -6.5 -30
7.5 -6.5 -30
8 -6.5 -30
8.5 -6.5 -30
9 -6.5 -30
9.5 -6.5 -30
10 -6.5 -30
10.5 -6.5 -30
11 -6.5 -30
11.5 -6.5 -30
12 -6.5 -30
12.5 -6.5 -30
13 -6.5 -30
13.5 -6.5 -30
14 -6.5 -30
14.5 -6.5 -30
15 -6.5 -30
15.5 -6.5 -30
16 -6.5 -30
16.5 -6.5 -30
17 -6.5 -30
17.5 -6.5 -30
18 -6.5 -30
18.5 -6.5 -30
19 -6.5 -30
19.5 -6.5 -30
20 -6.5 -30
20.5 -6.5 -30
21 -6.5 -30
21.5 -6.5 -30
22 -6.5 -30
22.5 -6.5 -30
23 -6.5 -30
23.5 -6.5 -30
24 -6.5 -30
24.5 -6.5 -30
25 -6.5 -30
25.5 -6.5 -30
26 -6.5 -30
26.5 -6.5 -30
27 -6.5 -30
27.5 -6.5 -30
28 -6.5 -30
28.5 -6.5 -30
29 -6.5 -30
29.5 -6.5 -30
30 -6.5 -30
-30 -6 -30
-29.5 -6 -30
-29 -6 -30
-28.5 -6 -30
-28 -6 -30
-27.5 -6 -30
-27 -6 -30
-26.5 -6 -30
-26 -6 -30
-25.5 -6 -30
-25 -6 -30
-24.5 -6 -30
-24 -6 -30
-23.5 -6 -30
-23 -6 -30
-22.5 -6 -30
-22 -6 -30
-21.5 -6 -30
-21 -6 -30
-20.5 -6 -30
-20 -6 -30
-19.5 -6 -30
-19 -6 -30
-18.5 -6 -30
-18 -6 -30
-17.5 -6 -30
-17 -6 -30
-16.5 -6 -30
-16 -6 -30
-15.5 -6 -30
-15 -6 -30
-14.5 -6 -30
-14 -6 -30
-13.5 -6 -30
-13 -6 -30
-12.5 -6 -30
-12 -6 -30
-11.5 -6 -30
-11 -6 -30
-10.5 -6 -30
-10 -6 -30
-9.5 -6 -30
-9 -6 -30
-8.5 -6 -30
-8 -6 -30
-7.5 -6 -30
-7 -6 -30
-6.5 -6 -30
-6 -6 -30
-5.5 -6 -30
-5 -6 -30
-4.5 -6 -30
-4 -6 -30
-3.5 -6 -30
-3 -6 -30
-2.5 -6 -30
-2 -6 -30
-1.5 -6 -30
-1 -6 -30
-0.5 -6 -30
0 -6 -30
0.5 -6 -30
1 -6 -30
1.5 -6 -30
2 -6 -30
2.5 -6 -30
3 -6 -30
3.5 -6 -30
4 -6 -30
4.5 -6 -30
5 -6 -30
5.5 -6 -30
6 -6 -30
6.5 -6 -30
7 -6 -30
7.5 -6 -30
8 -6 -30
8.5 -6 -30
9 -6 -30
9.5 -6 -30
10 -6 -30
10.5 -6 -30
11 -6 -30
11.5 -6 -30
12 -6 -30
12.5 -6 -30
13 -6 -30
13.5 -6 -30
14 -6 -30
14.5 -6 -30
15 -6 -30
15.5 -6 -30
16 -6 -30
16.5 -6 -30
17 -6 -30
17.5 -6 -30
18 -6 -30
18.5 -6 -30
19 -6 -30
19.5 -6 -30
20 -6 -30
20.5 -6 -30
21 -6 -30
21.5 -6 -30
22 -6 -30
22.5 -6 -30
23 -6 -30
23.5 -6 -30
24 -6 -30
24.5 -6 -30
25 -6 -30
25.5 -6 -30
26 -6 -30
26.5 -6 -30
27 -6 -30
27.5 -6 -30
28 -6 -30
28.5 -6 -30
29 -6 -30
29.5 -6 -30
30 -6 -30
-30 -5.5 -30
-29.5 -5.5 -30
-29 -5.5 -30
-28.5 -5.5 -30
-28 -5.5 -30
-27.5 -5.5 -30
-27 -5.5 -30
-26.5 -5.5 -30
-26 -5.5 -30
-25.5 -5.5 -30
-25 -5.5 -30
-24.5 -5.5 -30
-24 -5.5 -30
-23.5 -5.5 -30
-23 -5.5 -30
-22.5 -5.5 -30
-22 -5.5 -30
-21.5 -5.5 -30
-21 -5.5 -30
-20.5 -5.5 -30
-20 -5.5 -30
-19.5 -5.5 -30
-19 -5.5 -30
-18.5 -5.5 -30
-18 -5.5 -30
-17.5 -5.5 -30
-17 -5.5 -30
-16.5 -5.5 -30
-16 -5.5 -30
-15.5 -5.5 -30
-15 -5.5 -30
-14.5 -5.5 -30
-14 -5.5 -30
-13.5 -5.5 -30
-13 -5.5 -30
-12.5 -5.5 -30
-12 -5.5 -30
-11.5 -5.5 -30
-11 -5.5 -30
-10.5 -5.5 -30
-10 -5.5 -30
-9.5 -5.5 -30
-9 -5.5 -30
-8.5 -5.5 -30
-8 -5.5 -30
-7.5 -5.5 -30
-7 -5.5 -30
-6.5 -5.5 -30
-6 -5.5 -30
-5.5 -5.5 -30
-5 -5.5 -30
-4.5 -5.5 -30
-4 -5.5 -30
-3.5 -5.5 -30
-3 -5.5 -30
-2.5 -5.5 -30
-2 -5.5 -30
-1.5 -5.5 -30
-1 -5.5 -30
-0.5 -5.5 -30
0 -5.5 -30
0.5 -5.5 -30
1 -5.5 -30
1.5 -5.5 -30
2 -5.5 -30
2.5 -5.5 -30
3 -5.5 -30
3.5 -5.5 -30
4 -5.5 -30
4.5 -5.5 -30
5 -5.5 -30
5.5 -5.5 -30
6 -5.5 -30
6.5 -5.5 -30
7 -5.5 -30
7.5 -5.5 -30
8 -5.5 -30
8.5 -5.5 -30
9 -5.5 -30
9.5 -5.5 -30
10 -5.5 -30
10.5 -5.5 -30
11 -5.5 -30
11.5 -5.5 -30
12 -5.5 -30
12.5 -5.5 -30
13 -5.5 -30
13.5 -5.5 -30
14 -5.5 -30
14.5 -5.5 -30
15 -5.5 -30
15.5 -5.5 -30
16 -5.5 -30
16.5 -5.5 -30
17 -5.5 -30
17.5 -5.5 -30
18 -5.5 -30
18.5 -5.5 -30
19 -5.5 -30
19.5 -5.5 -30
20 -5.5 -30
20.5 -5.5 -30
21 -5.5 -30
21.5 -5.5 -30
22 -5.5 -30
22.5 -5.5 -30
23 -5.5 -30
23.5 -5.5 -30
24 -5.5 -30
24.5 -5.5 -30
25 -5.5 -30
25.5 -5.5 -30
26 -5.5 -30
26.5 -5.5 -30
27 -5.5 -30
27.5 -5.5 -30
28 -5.5 -30
28.5 -5.5 -30
29 -5.5 -30
29.5 -5.5 -30
30 -5.5 -30
-30 -5 -30
-29.5 -5 -30
-29 -5 -30
-28.5 -5 -30
-28 -5 -30
-27.5 -5 -30
-27 -5 -30
-26.5 -5 -30
-26 -5 -30
-25.5 -5 -30
-25 -5 -30
-24.5 -5 -30
-24 -5 -30
-23.5 -5 -30
-23 -5 -30
-22.5 -5 -30
-22 -5 -30
-21.5 -5 -30
-21 -5 -30
-20.5 -5 -30
-20 -5 -30
-19.5 -5 -30
-19 -5 -30
-18.5 -5 -30
-18 -5 -30
-17.5 -5 -30
-17 -5 -30
-16.5 -5 -30
-16 -5 -30
-15.5 -5 -30
-15 -5 -30
-14.5 -5 -30
